[18:40:53] [main/INFO]: Loading Minecraft 1.16.5 with Fabric Loader 0.16.10
[18:40:53] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.10
	   \-- mixinextras 0.4.1
	- java 21
	- minecraft 1.16.5
[18:40:53] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/mc/minecraft_server_fabric/libraries/net/fabricmc/sponge-mixin/0.15.4+mixin.0.8.7/sponge-mixin-0.15.4+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[18:40:57] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[18:40:58] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[18:40:58] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[18:40:58] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[18:40:58] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[18:40:58] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[18:40:58] [main/INFO]: Reloading ResourceManager: Default
[18:40:59] [Worker-Main-4/INFO]: Loaded 7 recipes
[18:40:59] [Worker-Main-4/INFO]: Loaded 927 advancements
[18:41:01] [Server thread/INFO]: Starting minecraft server version 1.16.5
[18:41:01] [Server thread/INFO]: Loading properties
[18:41:01] [Server thread/INFO]: Default game type: SURVIVAL
[18:41:01] [Server thread/INFO]: Generating keypair
[18:41:01] [Server thread/INFO]: Starting Minecraft server on *:25565
[18:41:01] [Server thread/INFO]: Using epoll channel type
[18:41:02] [Server thread/INFO]: Preparing level "world"
[18:41:07] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[18:41:07] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[18:41:08] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[18:41:08] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[18:41:09] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[18:41:09] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[18:41:10] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[18:41:10] [Worker-Main-4/INFO]: Preparing spawn area: 5%
[18:41:11] [Worker-Main-4/INFO]: Preparing spawn area: 5%
[18:41:11] [Worker-Main-6/INFO]: Preparing spawn area: 9%
[18:41:12] [Worker-Main-6/INFO]: Preparing spawn area: 10%
[18:41:12] [Worker-Main-5/INFO]: Preparing spawn area: 14%
[18:41:13] [Worker-Main-4/INFO]: Preparing spawn area: 15%
[18:41:13] [Worker-Main-4/INFO]: Preparing spawn area: 15%
[18:41:14] [Worker-Main-5/INFO]: Preparing spawn area: 15%
[18:41:14] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[18:41:15] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[18:41:15] [Worker-Main-4/INFO]: Preparing spawn area: 24%
[18:41:16] [Worker-Main-5/INFO]: Preparing spawn area: 29%
[18:41:16] [Worker-Main-5/INFO]: Preparing spawn area: 29%
[18:41:17] [Worker-Main-4/INFO]: Preparing spawn area: 33%
[18:41:17] [Worker-Main-6/INFO]: Preparing spawn area: 34%
[18:41:18] [Worker-Main-6/INFO]: Preparing spawn area: 34%
[18:41:18] [Worker-Main-6/INFO]: Preparing spawn area: 34%
[18:41:19] [Worker-Main-6/INFO]: Preparing spawn area: 34%
[18:41:19] [Worker-Main-5/INFO]: Preparing spawn area: 43%
[18:41:20] [Worker-Main-4/INFO]: Preparing spawn area: 46%
[18:41:20] [Worker-Main-4/INFO]: Preparing spawn area: 50%
[18:41:21] [Worker-Main-6/INFO]: Preparing spawn area: 52%
[18:41:21] [Worker-Main-4/INFO]: Preparing spawn area: 55%
[18:41:22] [Worker-Main-6/INFO]: Preparing spawn area: 56%
[18:41:23] [Worker-Main-5/INFO]: Preparing spawn area: 59%
[18:41:23] [Worker-Main-6/INFO]: Preparing spawn area: 59%
[18:41:25] [Worker-Main-6/INFO]: Preparing spawn area: 66%
[18:41:25] [Worker-Main-6/INFO]: Preparing spawn area: 66%
[18:41:25] [Worker-Main-6/INFO]: Preparing spawn area: 66%
[18:41:25] [Worker-Main-5/INFO]: Preparing spawn area: 79%
[18:41:25] [Worker-Main-6/INFO]: Preparing spawn area: 83%
[18:41:27] [Worker-Main-4/INFO]: Preparing spawn area: 85%
[18:41:27] [Worker-Main-4/INFO]: Preparing spawn area: 85%
[18:41:27] [Worker-Main-4/INFO]: Preparing spawn area: 85%
[18:41:28] [Worker-Main-5/INFO]: Preparing spawn area: 95%
[18:41:28] [Server thread/INFO]: Time elapsed: 20446 ms
[18:41:28] [Server thread/INFO]: Done (26.040s)! For help, type "help"
